"date","tavg_cincy","tmin_cincy","tmax_cincy","prcp_cincy","snow_cincy","wspd_cincy","pres_cincy","tavg_columbus","tmin_columbus","tmax_columbus","wspd_columbus","pres_columbus","prcp_columbus","tavg_cleveland","tmin_cleveland","tmax_cleveland","prcp_cleveland","snow_cleveland","wspd_cleveland","pres_cleveland"
2021-04-01,2.4,-1.3,3.6,0.3,0,20.9,1027.8,0.9,-1.1,3.6,19.9,1027.2,0,0.6,-1.2,5.5,10.7,3,36.2,1024.8
2021-04-02,1.6,-4,9.2,0,0,7.9,1032.7,0.4,-5.7,6.2,9.6,1033,0,1.9,-0.1,4.3,0,5,20.7,1031.3
2021-04-03,6.8,-0.7,17.5,0,0,15.5,1027.6,5.3,-3.2,14.3,10.6,1028.7,0,7.9,0.5,16.6,0,0,20.7,1025.5
2021-04-04,14.2,7.5,23.6,0,0,8.3,1022.3,12.2,7.3,19.2,8.8,1022.9,0,10,7.1,13.8,0,0,11.2,1021.8
2021-04-05,16.4,7.5,24.7,0,0,11.2,1018,13.7,5.6,21.8,8.8,1018.6,0,12.5,8.2,21.6,0,0,15.2,1018.5
2021-04-06,18,9.2,25.3,0,0,10.8,1015.5,17.2,10,23.6,9.3,1015.7,0,16,11.6,21,0,0,13.2,1014.3
2021-04-07,20.1,12.5,27.5,0,0,12.2,1013,18.4,11.9,26.9,7.5,1014.3,0,18.8,12.7,22.7,0,0,14.8,1013.2
2021-04-08,19,14.2,20.9,0.5,0,20.9,1006.2,16.7,10.9,23.9,11.2,1008.9,7.1,21.3,13.2,29.3,3.3,0,19,1008.2
2021-04-09,18.4,10.9,27,0,0,19.8,1008.6,16.9,10.9,24.9,13.8,1011,0,20,15.5,24.9,4.1,0,22.3,1009.2
2021-04-10,17.4,12,20.3,13,0,18.4,1003.1,15.7,7.9,22.9,11.3,1005.2,8.2,21.4,16.6,27.1,7.9,0,22.1,1004.6
2021-04-11,12,9.2,13.6,1.3,0,18.7,998.3,11.5,8.9,15.9,16.2,999.4,2.3,16.2,12.1,18.8,3.6,0,18.3,997.1
2021-04-12,12.1,9.2,19.7,0,0,15.8,1008,10.2,5.9,14.9,13.9,1007.8,1.3,11.7,10.5,13.8,1.8,0,8.4,1005
2021-04-13,13.4,6.4,19.7,0,0,6.1,1018.7,10.7,3.9,17.9,7.8,1018.8,0,13,10.5,15.5,0,0,9.7,1017.2
2021-04-14,13.2,8.1,17,0,0,11.2,1017.8,10.6,7.9,14.9,9.3,1017.9,0.6,11.3,8.2,13.8,0,0,11.7,1016.9
2021-04-15,9,4.7,13.1,0,0,18.4,1015.1,6.8,4.9,8.9,14.7,1014.4,0,7.1,4.9,8.8,3.3,0,22.8,1012
2021-04-16,8.7,-0.2,16.4,0,0,7.6,1014,7.6,1.9,14.9,13.5,1013.4,0,7.1,6,7.7,0.8,0,20.5,1011.7
2021-04-17,10.2,5.9,13.6,0.3,0,8.3,1012.3,6.9,-0.1,14.9,7.2,1012.2,3.7,7.3,5.5,8.8,0,0,8.9,1012.7
2021-04-18,10.4,2.5,18.1,0,0,10.8,1012.9,9.1,0.9,15.9,8.9,1012.9,0.1,9.5,4.3,13.2,0,0,10.3,1012.1
2021-04-19,13.5,6.4,19.7,0,0,14,1012,10.6,1.9,17.9,11,1012.3,0.2,12.5,7.7,18.2,0,0,18.9,1009.9
2021-04-20,11.8,0.9,20.3,9.1,0,16.9,1013.4,9.7,2.9,19.9,12.6,1013.7,0.6,5.7,2.7,8.8,4.1,0,22.7,1015.4
2021-04-21,3,0.3,7.5,5.8,5,14.8,1018.9,1.9,-0.1,5.9,17.7,1017.5,7.4,2.5,1.6,3.8,12.4,10,24.5,1015.8
